Seq. For Order,Observation Class,Domain Prefix,"Variable Name 
(minus domain prefix)",Variable Name ,Variable Label ,Type,"Controlled Terms, Codelist, or Format ",Role,CDISC Notes ,Core
20,Findings,MA,MALAT,MALAT,Specimen Laterality within Subject,Char,(LAT),Variable Qualifier,"Qualifier for laterality of the specimen within the subject for paired specimens. Examples: LEFT, RIGHT, BILATERAL.",Perm
21,Findings,MA,MADIR,MADIR,Specimen Directionality within Subject,Char,(DIR),Variable Qualifier,"Qualifier for directionality of the specimen within the subject. Examples: DORSAL, PROXIMAL.",Perm
22,Findings,MA,MAPORTOT,MAPORTOT,Portion or Totality,Char,(PORTOT),Variable Qualifier,"Qualifier for anatomical location or specimen further detailing the portion or totality which means arrangement of, or apportioning of, for example, ENTIRE, SINGLE, SEGMENT, MANY.",Perm
23,Findings,MA,MAEVAL,MAEVAL,Evaluator,Char,,Record Qualifier,"Role of the person who provided the evaluation. Used only for results that are subjective (i.e., assigned by a person or a group). Examples: PRINCIPAL PATHOLOGIST, PEER REVIEW, SPONSOR PATHOLOGIST.",Perm
24,Findings,MA,MASEV,MASEV,Severity,Char,(SEV),Record Qualifier,"Describes the severity or intensity of a particular finding. Examples: MILD, MODERATE, SEVERE.",Perm
25,Findings,MA,MADTHREL,MADTHREL,Relationship to Death,Char,(NY),Record Qualifier,"Describes the relationship of a particular finding to the death of a subject (Y=caused death, N=did not cause death, U=unknown). May be left null if not available.",Perm
26,Findings,MA,MADTC,MADTC,Date/Time of Collection,Char,ISO 8601,Timing,Date/time of specimen collection in ISO 8601 format.,Perm
27,Findings,MA,MADY,MADY,Study Day of Specimen Collection,Num,,Timing,"Study day of specimen collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Findings,MI,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,MI,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,MI,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,MI,MISEQ,MISEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,MI,MIGRPID,MIGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject. This is not the treatment group number.,Perm
6,Findings,MI,MIREFID,MIREFID,Specimen Reference Identifier,Char,,Identifier,Internal or external specimen identifier. Example: Specimen barcode number.,Perm
7,Findings,MI,MISPID,MISPID,Mass Identifier,Char,,Identifier,"Mass identifier such as MASS 1 or MASS A. Used when the mass was discovered during the in-life phase or during pathology and assigned a mass identifier. The mass identification should be unique within the subject, regardless of mass location.",Perm
8,Findings,MI,MITESTCD,MITESTCD,Microscopic Examination Short Name,Char,(MITESTCD),Topic,"Short name of the measurement, test, or examination described in MITEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in MITESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). MITESTCD cannot contain characters other than letters, numbers, or underscores. Extensible controlled value is MIEXAM.",Req
9,Findings,MI,MITEST,MITEST,Microscopic Examination Name,Char,(MITEST),Synonym Qualifier,Long name for MITESTCD. The value in MITEST cannot be longer than 40 characters. Extensible controlled value is Microscopic Examination.,Req
10,Findings,MI,MIBODSYS,MIBODSYS,Body System or Organ Class,Char,(BODSYS),Record Qualifier,Body system or organ class associated with the measurement performed.,Perm
11,Findings,MI,MIORRES,MIORRES,Result or Findings as Collected,Char,,Result Qualifier,"Text description of the findings as originally received or collected, including the base pathological process and any modifiers.",Exp
12,Findings,MI,MISTRESC,MISTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains only the base pathological process (e.g., NECROSIS) from MIORRES without any modifiers such as severity, distribution, frequency, grade, etc. Or, if the examination was completed and there were no findings, the value must be NORMAL. Tumors must be populated using TFSTRESC controlled list. MISTRESC is not currently controlled for non-neoplastic/non-tumor findings.",Exp
13,Findings,MI,MIRESCAT,MIRESCAT,Result Category,Char,(MIRESCAT),Result Qualifier,Used to categorize the result of a finding. Example: MALIGNANT for tumor findings. Histopathological findings may be categorized as NON-NEOPLASTIC.,Perm
14,Findings,MI,MISTAT,MISTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate examination not done or result is missing. Should be null if a result exists in MIORRES.,Perm
15,Findings,MI,MIREASND,MIREASND,Reason Not Done,Char,,Record Qualifier,"Describes why MISTAT is NOT DONE, such as SAMPLE AUTOLYZED or SPECIMEN LOST.",Perm
16,Findings,MI,MINAM,MINAM,Laboratory Name,Char,,Record Qualifier,Name or identifier of the laboratory or vendor who provides the test results if different per animal or different from Trial Summary (TS).,Perm
17,Findings,MI,MISPEC,MISPEC,Specimen Material Type,Char,(SPEC),Record Qualifier,"Subject of the observation. Defines the type of specimen used for a measurement. Examples: LIVER, HEART, BONE MARROW.",Req
18,Findings,MI,MIANTREG,MIANTREG,Anatomical Region of Specimen,Char,,Variable Qualifier,"Example: Cortex, Medulla, or Femur (if the MISPEC is, for example, BONE MARROW).",Perm
19,Findings,MI,MISPCCND,MISPCCND,Specimen Condition,Char,,Variable Qualifier,Free or standardized text describing the condition of the specimen. Example: AUTOLYZED.,Exp
20,Findings,MI,MISPCUFL,MISPCUFL,Specimen Usability for the Test,Char,(NY),Variable Qualifier,Describes the usability of the specimen for the test. Example: N = the specimen is not usable; otherwise null.,Exp
21,Findings,MI,MIMETHOD,MIMETHOD,Method of Test or Examination,Char,,Record Qualifier,Method of the test or examination. This could be different types of coloring used for the slides whenever appropriate. Examples: H&E.,Perm
22,Findings,MI,MILAT,MILAT,Specimen Laterality within Subject,Char,(LAT),Variable Qualifier,"Qualifier for laterality of the specimen within the subject for paired specimens. Examples: LEFT, RIGHT, BILATERAL.",Perm
23,Findings,MI,MIDIR,MIDIR,Specimen Directionality within Subject,Char,(DIR),Variable Qualifier,"Qualifier for directionality of the specimen within the subject. Examples: DORSAL, PROXIMAL.",Perm
24,Findings,MI,MIEVAL,MIEVAL,Evaluator,Char,,Record Qualifier,"Role of the person who provided the evaluation. Example: TOX PATHOLOGIST, PEER REVIEW, SPONSOR PATHOLOGIST.",Perm
25,Findings,MI,MISEV,MISEV,Severity,Char,(SEV),Variable Qualifier,Describes the severity of a particular finding.,Exp
26,Findings,MI,MIDTHREL,MIDTHREL,Relationship to Death,Char,(NY),Record Qualifier,"Describes the relationship of a particular finding to the death of a subject (Y=caused death, N=did not cause death, U=unknown). May be left null if not available.",Perm
27,Findings,MI,MIDTC,MIDTC,Date/Time of Specimen Collection,Char,ISO 8601,Timing,"Date/time of specimen collection, in ISO 8601 format.",Perm
28,Findings,MI,MIDY,MIDY,Study Day of Specimen Collection,Num,,Timing,"Study day of specimen collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Findings,OM,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,OM,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,OM,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,OM,OMSEQ,OMSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,OM,OMTESTCD,OMTESTCD,Test Short Name,Char,(OMTESTCD),Topic,"Short name of the measurement, test, or examination described in OMTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in OMTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). OMTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
6,Findings,OM,OMTEST,OMTEST,Test Name,Char,(OMTEST),Synonym Qualifier,Long name for OMTESTCD. The value in OMTEST cannot be longer than 40 characters.,Req
7,Findings,OM,OMORRES,OMORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
8,Findings,OM,OMORRESU,OMORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology list.,Exp
9,Findings,OM,OMSTRESC,OMSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings or derived from OMORRES in a standard format or standard units. OMSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in OMSTRESN.",Exp
10,Findings,OM,OMSTRESN,OMSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for results or findings in standard format; contains the numeric form of OMSTRESC. OMSTRESN should store all numeric test results or findings.,Exp
11,Findings,OM,OMSTRESU,OMSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,"Standardized unit used for OMSTRESC or OMSTRESN. Example, if the original units were oz for ounces, the standard unit might be g for grams.",Exp
12,Findings,OM,OMSTAT,OMSTAT,Finding Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in OMORRES.,Perm
13,Findings,OM,OMREASND,OMREASND,Reason Not Done,Char,,Record Qualifier,"Describes why OMSTAT is NOT DONE, such as BROKEN EQUIPMENT or TECHNICIAN OVERSIGHT.",Perm
14,Findings,OM,OMSPEC,OMSPEC,Specimen Material Type,Char,(SPEC),Record Qualifier,"Defines the type of tissue, organ, or fluid specimen used as the object for the finding. Examples: GLAND, ADRENAL; KIDNEY; VESSEL, LYMPHATIC.",Req
15,Findings,OM,OMANTREG,OMANTREG,Anatomical Region of Specimen,Char,,Variable Qualifier,"Defines the specific anatomical or biological region of a tissue, organ specimen or the region from which the specimen was obtained, such as a section or part of what is defined in the --SPEC variable. If the anatomical region is not included in the specimen description --SPEC, it may be included in this variable. This field can be a combination of terms where needed. This field can be blank if not applicable. Examples: CORTEX, MEDULLA, MUCOSA, SEROSA, ISLET, ZONA FASICULATA, ZONA RETICULARIS, CRANIAL, MEDIAN, ACCESSORY, SPINAL, LUMBAR, FRONTAL.",Perm
16,Findings,OM,OMSPCCND,OMSPCCND,Specimen Condition,Char,,Variable Qualifier,Free or standardized text describing the condition of the specimen. Example: FIXED.,Perm
17,Findings,OM,OMSPCUFL,OMSPCUFL,Specimen Usability for the Test,Char,(NY),Variable Qualifier,Describes the usability of the specimen for the test. Example: N = the specimen is not usable; otherwise null.,Perm
18,Findings,OM,OMLAT,OMLAT,Specimen Laterality within Subject,Char,(LAT),Variable Qualifier,"Qualifier for laterality of the specimen within the subject for paired specimens. Examples: LEFT, RIGHT, BILATERAL.",Perm
19,Findings,OM,OMDIR,OMDIR,Specimen Directionality within Subject,Char,(DIR),Variable Qualifier,"Qualifier for directionality of the specimen within the subject. Examples: DORSAL, PROXIMAL.",Perm
20,Findings,OM,OMPORTOT,OMPORTOT,Portion or Totality,Char,(PORTOT),Variable Qualifier,"Qualifier for anatomical location or specimen further detailing the portion or totality which means arrangement of, or apportioning of, for example, ENTIRE, SINGLE, SEGMENT, MANY.",Perm
21,Findings,OM,OMEXCLFL,OMEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Y if the result should be excluded from all calculations, otherwise null.",Perm
22,Findings,OM,OMREASEX,OMREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from all calculations. Used only when OMEXCLFL is Y.,Perm
23,Findings,OM,OMDTC,OMDTC,Date/Time Organ Weighed,Char,ISO 8601,Timing,Date/time of specimen/tissue weighing in ISO 8601 format.,Exp
24,Findings,OM,OMDY,OMDY,Study Day of Weighing,Num,,Timing,"Study day of specimen/tissue weighting, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Findings,PC,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,PC,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,PC,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Exp
4,Findings,PC,POOLID,POOLID,Pool Identifier,Char,,Identifier,"Used to identify a set of subjects that contributed to the recorded measurement. Within the PC domain, this usually represents the subjects that contributed to the sample being tested.",Perm
5,Findings,PC,PCSEQ,PCSEQ,Sequence Number,Num,,Identifier,"Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number. The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",Req
6,Findings,PC,PCGRPID,PCGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain to support relationships within the domain and between domains. This is not the treatment group number.,Perm
7,Findings,PC,PCREFID,PCREFID,Sample Identifier,Char,,Identifier,Sample ID or accession number.,Perm
8,Findings,PC,PCSPID,PCSPID,Sponsor Identifier,Char,,Identifier,Sponsor-defined reference number.,Perm
9,Findings,PC,PCTESTCD,PCTESTCD,Test Short Name,Char,,Topic,"Short name of the measurement, test, or examination described in PCTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in PCTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). PCTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: ASA, VOL, SPG.",Req
10,Findings,PC,PCTEST,PCTEST,Test Name,Char,,Synonym Qualifier,"Long name for PCTESTCD, such as the name of the analyte or specimen characteristic. The value in PCTEST cannot be longer than 40 characters. Examples: Acetylsalicyclic Acid, Volume, Specific Gravity.",Req
11,Findings,PC,PCCAT,PCCAT,Test Category,Char,,Grouping Qualifier,"Used to define a category of related records. Examples: ANALYTE, SPECIMEN PROPERTY.",Perm
12,Findings,PC,PCSCAT,PCSCAT,Test Subcategory,Char,,Grouping Qualifier,A further categorization of a test category.,Perm
13,Findings,PC,PCORRES,PCORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
14,Findings,PC,PCORRESU,PCORRESU,Unit of the Original Result,Char,(PKUNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology list.,Exp
15,Findings,PC,PCSTRESC,PCSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings or derived from PCORRES in a standard format or standard units. PCSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in PCSTRESN. For example, if a test has results NONE, NEG, and NEGATIVE in PCORRES and these results effectively have the same meaning, they could be represented in standard format in PCSTRESC as NEGATIVE. For other examples, see general assumptions.",Exp
16,Findings,PC,PCSTRESN,PCSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,"Used for continuous or numeric results or findings in standard format; contains the numeric form of PCSTRESC. PCSTRESN should store all numeric test results or findings. For results beyond limits of quantification, this variable should be left null (for example, if PCSTRESC is “<2”, PCSTRESN would be null).",Exp
17,Findings,PC,PCSTRESU,PCSTRESU,Unit of the Standardized Result,Char,(PKUNIT),Variable Qualifier,Standardized unit used for PCSTRESC and PCSTRESN.,Exp
18,Findings,PC,PCSTAT,PCSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in PCORRES.,Perm
19,Findings,PC,PCREASND,PCREASND,Reason Not Done,Char,,Record Qualifier,"Describes why PCSTAT is NOT DONE, such as SPECIMEN LOST.",Perm
20,Findings,PC,PCNAM,PCNAM,Vendor Name,Char,,Record Qualifier,Name or identifier of the laboratory or vendor who provides the test results.,Perm
21,Findings,PC,PCSPEC,PCSPEC,Specimen Material Type,Char,(SPEC),Record Qualifier,"Defines the type of specimen used for a measurement. Examples: SERUM, PLASMA, URINE.",Req
22,Findings,PC,PCSPCCND,PCSPCCND,Specimen Condition,Char,,Variable Qualifier,"Free or standardized text describing the condition of the specimen. Examples: HEMOLYZED, ICTERIC, LIPEMIC, etc.",Perm
23,Findings,PC,PCMETHOD,PCMETHOD,Method of Test or Examination,Char,,Record Qualifier,"Method of the test or examination. Examples include HPLC/MS, ELISA. This should contain sufficient information and granularity to allow differentiation of various methods that might have been used within a study.",Perm
24,Findings,PC,PCBLFL,PCBLFL,Baseline Flag,Char,(NY),Record Qualifier,A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor-defined.,Exp
25,Findings,PC,PCFAST,PCFAST,Fasting Status,Char,(NY),Record Qualifier,Indicator used to identify fasting status. May be left null if not relevant.,Perm
26,Findings,PC,PCDRVFL,PCDRVFL,Derived Flag,Char,(NY),Record Qualifier,Used to indicate a derived record. The value should be Y or null. Records that represent the average of other records are examples of records that would be derived for the submission datasets.,Perm
27,Findings,PC,PCLLOQ,PCLLOQ,Lower Limit of Quantitation,Num,,Variable Qualifier,Indicates the lower limit of quantitation for an assay. Units should be those used in PCSTRESU.,Exp
28,Findings,PC,PCEXCLFL,PCEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"Identifies whether this data point should be excluded from summary calculations such as Mean, Standard Deviation, and Count (N). This does not necessarily designate exclusion from pharmacokinetic calculations such as curve parameters (PP domain). Should be Y or null.",Perm
29,Findings,PC,PCREASEX,PCREASEX,Reason for Exclusion,Char,,Record Qualifier,The reason the result should be excluded from statistical summary calculations. Used only when PCEXCLFL is Y.,Perm
30,Findings,PC,VISITDY,VISITDY,Visit Day,Num,,Timing,This is the planned day of collection.,Exp
31,Findings,PC,PCDTC,PCDTC,Date/Time of Specimen Collection,Char,ISO 8601,Timing,"Date/time of specimen collection, in ISO 8601 format. If there is no end time, then this will be the collection time.",Exp
32,Findings,PC,PCENDTC,PCENDTC,End Date/Time of Specimen Collection,Char,ISO 8601,Timing,"End date/time of specimen collection, in ISO 8601 format. If there is no end time, the collection time should be stored in PCDTC, and PCENDTC should be null.",Perm
33,Findings,PC,PCDY,PCDY,Study Day of Specimen Collection,Num,,Timing,"Study day of specimen collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics (DM) domain.",Perm
34,Findings,PC,PCENDY,PCENDY,Study Day of End of Specimen Collection,Num,,Timing,"Study day of end of specimen collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics (DM) domain.",Perm
35,Findings,PC,PCTPT,PCTPT,Planned Time Point Name,Char,,Timing,"Text description of time when specimen should be taken. Note: This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See PCTPTNUM and PCTPTREF. Examples: Start, 5 min post.",Perm
36,Findings,PC,PCTPTNUM,PCTPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of PCTPT to aid in sorting.,Perm
37,Findings,PC,PCELTM,PCELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,Planned elapsed time (in ISO 8601) relative to a planned fixed reference (PCTPTREF) such as PREVIOUS DOSE or PREVIOUS MEAL. This variable is useful where there are repetitive measures. Not a clock time or a date time variable.,Perm
38,Findings,PC,PCTPTREF,PCTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point used as a basis for PCTPT, PCTPTNUM, and PCELTM. Example: Most Recent Dose.",Perm
39,Findings,PC,PCRFTDTC,PCRFTDTC,Date/Time of Reference Point,Char,ISO 8601,Timing,Date/time of the reference time point described by PCTPTREF.,Exp
40,Findings,PC,PCEVLINT,PCEVLINT,Evaluation Interval,Char,ISO 8601,Timing,Planned evaluation interval associated with a PCTEST record in ISO 8601 format. Example: “-P2H” to represent a planned interval of collection of 2 hours prior to a PCTPT.,Perm
1,Findings,PM,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,PM,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,PM,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,PM,PMSEQ,PMSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,PM,PMGRPID,PMGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject. This is not the treatment group number.,Perm
6,Findings,PM,PMSPID,PMSPID,Mass Identifier,Char,,Identifier,"Mass identifier such as MASS 1 or MASS A. Used when the mass was discovered during the in-life phase or during pathology and assigned a mass identifier. The mass identification should be unique within the subject, regardless of mass location.",Exp
7,Findings,PM,PMTESTCD,PMTESTCD,Test Short Name,Char,(PHSPRPCD),Topic,"Short name of the measurement, test, or examination described in PMTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in PMTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). PMTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
8,Findings,PM,PMTEST,PMTEST,Test Name,Char,(PHSPRP),Synonym Qualifier,Long name for PMTESTCD. The value in PMTEST cannot be longer than 40 characters.,Req
9,Findings,PM,PMORRES,PMORRES,Result or Findings as Collected,Char,,Result Qualifier,"Text description of findings as originally recorded. If the examination was not performed, then the value should be null, and NOT DONE should appear in PMSTAT.",Exp
10,Findings,PM,PMORRESU,PMORRESU,Unit of the Original Result,Char,(UNIT),Result Qualifier,"Units for PMORRES if available (e.g., for length, width, or depth findings). Examples: mm, cm.",Exp
11,Findings,PM,PMSTRESC,PMSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"If there are findings for a body system, then either the dictionary preferred term (if findings are coded using a dictionary) or PMORRES (if findings are not coded) should appear here. If PMORRES is null, PMSTRESC should be null. PMSTRESC should only contain the finding, without the location modifier.",Exp
12,Findings,PM,PMSTRESN,PMSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of PMSTRESC. PMSTRESN should store all numeric test results or findings.,Exp
13,Findings,PM,PMSTRESU,PMSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for PMSTRESC or PMSTRESN.,Exp
14,Findings,PM,PMSTAT,PMSTAT,Examination Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in PMORRES.,Perm
15,Findings,PM,PMREASND,PMREASND,Reason Not Done,Char,,Record Qualifier,"Describes why PMSTAT is NOT DONE, such as MEASUREMENT IMPOSSIBLE DUE TO EXCESSIVE ULCERATION OF MASS.",Perm
16,Findings,PM,PMLOC,PMLOC,Location of a Finding,Char,,Record Qualifier,Specifies the location of the palpable mass finding. Example: LEFT SHOULDER.,Exp
17,Findings,PM,PMEVAL,PMEVAL,Evaluator,Char,,Record Qualifier,Role of the person who provided the evaluation. Example: TECHNICIAN.,Perm
18,Findings,PM,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,This is the planned study day of collection.,Exp
19,Findings,PM,PMDTC,PMDTC,Start Date/Time of Observation,Char,ISO 8601,Timing,Date/time of the observation in ISO 8601 format.,Exp
20,Findings,PM,PMDY,PMDY,Study Day of Observation,Num,,Timing,"Study day of the observation, measured as integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Relationship,POOLDEF,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Relationship,POOLDEF,POOLID,POOLID,Pool Identifier,Char,,Identifier,Identifier used for pooling subjects to assign a single finding to multiple subjects,Req
3,Relationship,POOLDEF,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify across all studies for all applications or submissions involving the product.,Req
1,Findings,PP,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,PP,DOMAIN,DOMAIN,Domain Abbreviation,Char,(DOMAIN),Identifier,Two-character abbreviation for the domain.,Req
3,Findings,PP,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Exp
4,Findings,PP,POOLID,POOLID,Pool Identifier,Char,,Identifier,"Used to identify a set of subjects that contributed to the recorded measurement. Within the PP domain, this represents the subjects that contributed to the PPTEST result.",Perm
5,Findings,PP,PPSEQ,PPSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
6,Findings,PP,PPGRPID,PPGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain to support relationships within the domain and between domains. This is not the treatment group number.,Perm
7,Findings,PP,PPTESTCD,PPTESTCD,Parameter Short Name,Char,(PKPARMCD),Topic,"Short name of the measurement, test, or examination described in PPTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in PPTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST” is not valid). PPTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: AUCINT, TMAX, CMAX.",Req
8,Findings,PP,PPTEST,PPTEST,Parameter Name,Char,(PKPARM),Synonym Qualifier,"Long name for PPTESTCD. The value in PPTEST cannot be longer than 40 characters. Examples: AUCINT, Time of CMAX Observation, Max Conc.",Req
9,Findings,PP,PPCAT,PPCAT,Parameter Category,Char,,Grouping Qualifier,"Used to define a category of related records. For PP, this should be the name of the analyte in PPTEST whose profile the parameter is associated with.",Exp
10,Findings,PP,PPSCAT,PPSCAT,Parameter Subcategory,Char,,Grouping Qualifier,"Categorization of the model type used to calculate the pharmacokinetic parameters. Examples include COMPARTMENTAL, NON-COMPARTMENTAL.",Perm
11,Findings,PP,PPORRES,PPORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
12,Findings,PP,PPORRESU,PPORRESU,Unit of the Original Result,Char,(PKUNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology list.,Exp
13,Findings,PP,PPSTRESC,PPSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings derived from PPORRES in a standard format or standard units. PPSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in PPSTRESN. For example, if a test has results NONE, NEG, and NEGATIVE in PPORRES and these results effectively have the same meaning, they could be represented in standard format in PPSTRESC as NEGATIVE. For other examples, see general assumptions.",Exp
14,Findings,PP,PPSTRESN,PPSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for continuous or numeric results or findings in standard format; contains the numeric form of PPSTRESC. PPSTRESN should store all numeric test results or findings.,Exp
15,Findings,PP,PPSTRESU,PPSTRESU,Unit of the Standardized Result,Char,(PKUNIT),Variable Qualifier,Standardized unit used for PPSTRESC and PPSTRESN.,Exp
16,Findings,PP,PPSTAT,PPSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate that a parameter was not calculated. Should be null if a result exists in PPORRES.,Perm
17,Findings,PP,PPREASND,PPREASND,Reason Not Done,Char,,Record Qualifier,"Describes why a parameter was not performed, such as INSUFFICIENT DATA. Used in conjunction with PPSTAT when value is NOT DONE.",Perm
18,Findings,PP,PPSPEC,PPSPEC,Specimen Material Type,Char,(SPEC),Record Qualifier,"Defines the type of specimen used for a measurement. If multiple specimen types are used for a calculation (e.g., serum and urine for creatinine clearance), then this field should be left blank. Examples: SERUM, PLASMA, URINE.",Exp
19,Findings,PP,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,It is the planned study day for the time point reference of the time-concentration profile.,Exp
20,Findings,PP,PPTPTREF,PPTPTREF,Time Point Reference,Char,,Timing,Name of the fixed reference point used as a basis for PPRFTDTC.,Perm
21,Findings,PP,PPRFTDTC,PPRFTDTC,Date/Time of Reference Point,Char,ISO 8601,Timing,Date/time of the reference time point from the PC records used to calculate a parameter record. The values in PPRFTDTC should be the same as that in PCRFTDTC for related records.,Exp
