Seq. For Order,Observation Class,Domain Prefix,"Variable Name 
(minus domain prefix)",Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,"CDISC Notes (for domains)
Description (for General Classes)",Core
4,Findings,MI,FOCID,FOCID,Focus of Study-Specific Interest,Char,,Identifier,"Identification of a focus of study-specific interest on or within a subject or specimen as defined in the protocol for which a measurement, test, or examination was performed. An example could be a drug application site, e.g., ""Injection site 1,"" ""Biopsy site 1,"" ""Treated site 1."" the value in this variable should have inherent semantic value.",Perm
5,Findings,MI,SEQ,MISEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
6,Findings,MI,GRPID,MIGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject. This is not the treatment group number.,Perm
7,Findings,MI,REFID,MIREFID,Specimen Reference Identifier,Char,,Identifier,Internal or external specimen identifier. Example: Specimen barcode number.,Perm
8,Findings,MI,SPID,MISPID,Mass Identifier,Char,,Identifier,"Mass identifier such as MASS 1 or MASS A. Used when the mass was discovered during the in-life phase or during pathology and was assigned a mass identifier. The mass identification should be unique within the subject, regardless of mass location.",Perm
9,Findings,MI,TESTCD,MITESTCD,Microscopic Examination Short Name,Char,(MITESTCD),Topic,"Short name of the measurement, test, or examination described in MITEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in MITESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). MITESTCD cannot contain characters other than letters, numbers, or underscores. Extensible controlled value is MIEXAM covering an assessment by microscope (e.g., light, elctron, confocal, etc).",Req
10,Findings,MI,TEST,MITEST,Microscopic Examination Name,Char,(MITEST),Synonym Qualifier,Long name for MITESTCD. The value in MITEST cannot be longer than 40 characters. Extensible controlled value is Microscopic Examination.,Req
11,Findings,MI,BODSYS,MIBODSYS,Body System or Organ Class,Char,(BODSYS),Record Qualifier,Body system or organ class associated with the specimen examined.,Perm
12,Findings,MI,ORRES,MIORRES,Result or Findings as Collected,Char,,Result Qualifier,"Microscopic finding as originally recorded, including all modifiers.",Exp
13,Findings,MI,STRESC,MISTRESC,Standardized Result in Character Format,Char,(NONNEO) (NEOPLASM),Result Qualifier,"For non-neoplastic findings, contains only the base pathological process (e.g., NECROSIS) without any modifiers such as severity, distribution, chronicity or characteristics. If the examination was completed and there were no findings, the value must be UNREMARKABLE. The base pathological process from MIORRES should be mapped to a synonymous term from the controlled list, NONNEO, where possible.",Exp
14,Findings,MI,RESCAT,MIRESCAT,Result Category,Char,(MIRESCAT),Variable Qualifier,Used to categorize the result of a finding. Example: MALIGNANT for tumor findings or NON-NEOPLASTIC for pathology findings.,Perm
15,Findings,MI,CHRON,MICHRON,Chronicity of Finding,Char,(CHRNCTY),Variable Qualifier,"Describes the apparent relative duration of a particular finding. Examples: ACUTE, CHRONIC.",Exp
16,Findings,MI,DISTR,MIDISTR,Distribution Pattern of Finding,Char,(DSTRBN),Variable Qualifier,"Distribution pattern of a particular finding(s) within the examined area. Examples: DIFFUSE, FOCAL, MULTIFOCAL.",Exp
17,Findings,MI,STAT,MISTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate a test was not done or a test was attempted but did not generate a result. Should be null or have a value of NOT DONE.,Perm
18,Findings,MI,REASND,MIREASND,Reason Not Done,Char,,Record Qualifier,"Describes why MISTAT is NOT DONE, such as SAMPLE AUTOLYZED or SPECIMEN LOST.",Perm
19,Findings,MI,NAM,MINAM,Laboratory Name,Char,,Record Qualifier,Name or identifier of the laboratory or vendor that provided the test results.,Perm
20,Findings,MI,SPEC,MISPEC,Specimen Material Type,Char,(SPEC),Record Qualifier,"Defines the type of tissue, orgain, or fluid specimen examined. Examples: LIVER, HEART, BONE MARROW.",Req
21,Findings,MI,ANTREG,MIANTREG,Anatomical Region of Specimen,Char,,Variable Qualifier,"The protocol-defined subregion of the specimen examined. Example: Cortex or Medulla (if the MISPEC is, for example, GLAND, ADRENAL).",Perm
22,Findings,MI,SPCCND,MISPCCND,Specimen Condition,Char,,Record Qualifier,Free or standardized text describing the condition of the specimen. Example: AUTOLYZED.,Exp
23,Findings,MI,SPCUFL,MISPCUFL,Specimen Usability for the Test,Char,(NY),Record Qualifier,"Describes the usability of the specimen for the test. Should be ""N"" if the specimen is not usable; otherwise it should be null.",Exp
24,Findings,MI,LAT,MILAT,Specimen Laterality within Subject,Char,(LAT),Variable Qualifier,"Qualifier for laterality of the specimen within the subject for paired specimens. Examples: LEFT, RIGHT, BILATERAL.",Perm
25,Findings,MI,DIR,MIDIR,Specimen Directionality within Subject,Char,(DIR),Variable Qualifier,"Qualifier for directionality of the specimen within the subject. Examples: DORSAL, PROXIMAL.",Perm
26,Findings,MI,METHOD,MIMETHOD,Method of Test or Examination,Char,,Record Qualifier,Method of the test or examination. This could be different types of staining used for the slides whenever appropriate. Example: H&E.,Perm
27,Findings,MI,EVAL,MIEVAL,Evaluator,Char,,Record Qualifier,"Role of the person who provided the evaluation. Examples: TOX PATHOLOGIST, PEER REVIEW, SPONSOR PATHOLOGIST.",Perm
28,Findings,MI,SEV,MISEV,Severity,Char,(SEV),Record Qualifier,Describes the severity of a particular finding.,Exp
29,Findings,MI,DTHREL,MIDTHREL,Relationship to Death,Char,(NY),Record Qualifier,"Describes the relationship of a particular finding to the death of a subject (""Y"" = caused death, ""N"" = did not cause death, ""U"" = unknown). May be left null if not available.",Perm
30,Findings,MI,DTC,MIDTC,Date/Time,Char,ISO 8601,Timing,"For a specimen collected or observed post mortem, this is the date/time of subject disposition, in ISO 8601 format.",Perm
31,Findings,MI,DY,MIDY,Study Day,Num,,Timing,"For a specimen collected or observed post mortem, this is the study day of subject disposition, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
1,Findings,OM,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,OM,DOMAIN,DOMAIN,Domain Abbreviation,Char,OM,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,OM,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,OM,SEQ,OMSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,OM,TESTCD,OMTESTCD,Test Short Name,Char,(OMTESTCD),Topic,"Short name of the measurement, test, or examination described in OMTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in OMTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). OMTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
6,Findings,OM,TEST,OMTEST,Test Name,Char,(OMTEST),Synonym Qualifier,Long name for OMTESTCD. The value in OMTEST cannot be longer than 40 characters.,Req
7,Findings,OM,ORRES,OMORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
8,Findings,OM,ORRESU,OMORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology (http://www.cdisc.org/terminology) list.,Exp
9,Findings,OM,STRESC,OMSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from OMORRES in a standard format or in standard units. OMSTRESC should store all results or findings in character format; if results are numeric, they should also be submitted in numeric format in OMSTRESN.",Exp
10,Findings,OM,STRESN,OMSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of OMSTRESC. OMSTRESN should store all numeric test results or findings.,Exp
11,Findings,OM,STRESU,OMSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for OMSTRESC and OMSTRESN.,Exp
12,Findings,OM,STAT,OMSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in OMORRES.,Perm
13,Findings,OM,REASND,OMREASND,Reason Not Done,Char,,Record Qualifier,"Describes why OMSTAT is NOT DONE, such as BROKEN EQUIPMENT or TECHNICIAN OVERSIGHT.",Perm
14,Findings,OM,SPEC,OMSPEC,Specimen Material Type,Char,(SPEC),Record Qualifier,"Defines the type of tissue, organ, or fluid specimen used as the object for the finding. Examples: GLAND, ADRENAL, KIDNEY, VESSEL, LYMPHATIC.",Req
15,Findings,OM,ANTREG,OMANTREG,Anatomical Region of Specimen,Char,,Variable Qualifier,"Defines the specific anatomical or biological region of a tissue, organ specimen, or the region from which the specimen was obtained, such as a section or part of what is defined in the OMSPEC variable. If the anatomical region is not included in the specimen description OMSPEC, it may be included in this variable. This field can be a combination of terms where needed. This field can be blank if not applicable. Examples: CORTEX, MEDULLA, MUCOSA, SEROSA, ISLET, ZONA FASICULATA, ZONA RETICULARIS, CRANIAL, MEDIAN, ACCESSORY, SPINAL, LUMBAR, FRONTAL.",Perm
16,Findings,OM,SPCCND,OMSPCCND,Specimen Condition,Char,,Record Qualifier,Free or standardized text describing the condition of the specimen. Example: FIXED.,Perm
17,Findings,OM,SPCUFL,OMSPCUFL,Specimen Usability for the Test,Char,(NY),Record Qualifier,"Describes the usability of the specimen for the test. Should be ""N"" if the specimen is not usable; otherwise it should be null.",Perm
18,Findings,OM,LAT,OMLAT,Specimen Laterality within Subject,Char,(LAT),Variable Qualifier,"Qualifier for laterality of the specimen within the subject for paired specimens. Examples: LEFT, RIGHT, BILATERAL.",Perm
19,Findings,OM,DIR,OMDIR,Specimen Directionality within Subject,Char,(DIR),Variable Qualifier,"Qualifier for directionality of the specimen within the subject. Examples: DORSAL, PROXIMAL.",Perm
20,Findings,OM,PORTOT,OMPORTOT,Portion or Totality,Char,(PORTOT),Variable Qualifier,"Qualifier for anatomical location or specimen further detailing the portion or totality, which means arrangement of, or apportioning of. Examples: ENTIRE, SINGLE, SEGMENT, MANY.",Perm
21,Findings,OM,EXCLFL,OMEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"""Y"" if the result should be excluded from all calculations, otherwise null.",Perm
22,Findings,OM,REASEX,OMREASEX,Reason for Exclusion,Char,,Record Qualifier,"The reason the result should be excluded from all calculations. Used only when OMEXCLFL is ""Y"".",Perm
23,Findings,OM,DTC,OMDTC,Date/Time Organ Measured,Char,ISO 8601,Timing,"Date/Time of specimen/tissue weighing, in ISO 8601 format.",Exp
24,Findings,OM,DY,OMDY,Study Day of Measurement,Num,,Timing,"Study day of specimen/tissue weighing, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
25,Findings,OM,NOMDY,OMNOMDY,Nominal Study Day for Tabulations,Num,,Timing,Nominal study day: Used for grouping records for observations that may occur on different days into a single reported study day. Should be an integer.,Exp
26,Findings,OM,NOMLBL,OMNOMLBL,Label for Nominal Study Day,Char,,Timing,"A label for a given value of OMNOMDY as presented in the study report (examples: ""Week 4,"" ""Day 28,"" ""Terminal Sac"").",Perm
1,Findings,PM,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,PM,DOMAIN,DOMAIN,Domain Abbreviation,Char,PM,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,PM,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,PM,SEQ,PMSEQ,Sequence Number,Num,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,PM,GRPID,PMGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject. This is not the treatment group number.,Perm
6,Findings,PM,SPID,PMSPID,Mass Identifier,Char,,Identifier,"Mass identifier such as MASS 1 or MASS A. Used when the mass was discovered during the in-life phase or during pathology and was assigned a mass identifier. The mass identification should be unique within the subject, regardless of mass location.",Exp
7,Findings,PM,TESTCD,PMTESTCD,Test Short Name,Char,(PHSPRPCD),Topic,"Short name of the measurement, test, or examination described in PMTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in PMTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). PMTESTCD cannot contain characters other than letters, numbers, or underscores.",Req
8,Findings,PM,TEST,PMTEST,Test Name,Char,(PHSPRP),Synonym Qualifier,Long name for PMTESTCD. The value in PMTEST cannot be longer than 40 characters.,Req
9,Findings,PM,ORRES,PMORRES,Result or Findings as Collected,Char,,Variable Qualifier,"Text description of findings as originally received or collected. If the examination was not performed, then the value should be null, and NOT DONE should appear in PMSTAT.",Exp
10,Findings,PM,ORRESU,PMORRESU,Unit of the Original Result,Char,(UNIT),Variable Qualifier,"Units for PMORRES, if available (e.g., for length, width, or depth findings). The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology list.",Exp
11,Findings,PM,STRESC,PMSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings, copied, or derived from PMORRES in a standard format or standard units. PMSTRESC should store all results or findings (without location of finding) in character format; if results are numeric, they should also be submitted in numeric format in PMSTRESN.",Exp
12,Findings,PM,STRESN,PMSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of PMSTRESC. PMSTRESN should store all numeric test results or findings.,Exp
13,Findings,PM,STRESU,PMSTRESU,Unit of the Standardized Result,Char,(UNIT),Variable Qualifier,Standardized unit used for PMSTRESC and PMSTRESN.,Exp
14,Findings,PM,STAT,PMSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in PMORRES.,Perm
15,Findings,PM,REASND,PMREASND,Reason Not Done,Char,,Record Qualifier,"Describes why PMSTAT is NOT DONE, such as MEASUREMENT IMPOSSIBLE DUE TO EXCESSIVE ULCERATION OF MASS.",Perm
16,Findings,PM,LOC,PMLOC,Location of a Finding,Char,,Record Qualifier,Specifies the location of the palpable mass finding. Example: LEFT SHOULDER.,Exp
17,Findings,PM,EVAL,PMEVAL,Evaluator,Char,,Record Qualifier,Role of the person who provided the evaluation. Example: TECHNICIAN.,Perm
18,Findings,PM,USCHFL,PMUSCHFL,Unscheduled Flag,Char,(NY),Record Qualifier,"Indicates whether the timing of a performed test or observation was unscheduled. If a test or observation was performed based upon a schedule defined in the protocol, this flag should be null. Expected values are ""Y"" or null.",Perm
19,Findings,PM,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,Planned study day of collection. Should be an integer.,Perm
20,Findings,PM,DTC,PMDTC,Date/Time of Observation,Char,ISO 8601,Timing,Date/Time of the observation in ISO 8601 format.,Exp
21,Findings,PM,DY,PMDY,Study Day of Observation,Num,,Timing,"Study day of the observation, measured as integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
22,Findings,PM,NOMDY,PMNOMDY,Nominal Study Day for Tabulations,Num,,Timing,Nominal study day used for grouping records for observations that may occur on different days into a single reported study day. Should be an integer.,Exp
23,Findings,PM,NOMLBL,PMNOMLBL,Label for Nominal Study Day,Char,,Timing,"A label for a given value of PMNOMDY as presented in the study report. Examples: ""Week 4,"" ""Day 28,"" ""Terminal Sac"".",Perm
1,Findings,PC,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,PC,DOMAIN,DOMAIN,Domain Abbreviation,Char,PC,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,PC,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. Either USUBJID or POOLID must be populated.,Exp
4,Findings,PC,POOLID,POOLID,Pool Identifier,Char,,Identifier,"Identifier used for pooling subjects to assign a single finding to multiple subjects. If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. Either USUBJID or POOLID must be populated.",Perm
5,Findings,PC,SEQ,PCSEQ,Sequence Number,Num,,Identifier,"The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",Req
6,Findings,PC,GRPID,PCGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject or pool. This is not the treatment group number.,Perm
7,Findings,PC,REFID,PCREFID,Sample Identifier,Char,,Identifier,Internal or external specimen identifier. Example: 1009570101.,Perm
8,Findings,PC,SPID,PCSPID,Sponsor-Defined Identifier,Char,,Identifier,Sponsor-defined reference identifier.,Perm
9,Findings,PC,TESTCD,PCTESTCD,Test Short Name,Char,,Topic,"Short name of the measurement, test, or examination described in PCTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in PCTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). PCTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: ASA, VOLUME, SPGRAV.",Req
10,Findings,PC,TEST,PCTEST,Test Name,Char,,Synonym Qualifier,"Long name for PCTESTCD, such as the name of the analyte or specimen characteristic. The value in PCTEST cannot be longer than 40 characters. Examples: Acetylsalicyclic Acid, Volume, Specific Gravity.",Req
11,Findings,PC,CAT,PCCAT,Test Category,Char,,Grouping Qualifier,"Used to define a category of the pharmacokinetic test performed. Examples: ANALYTE, SPECIMEN PROPERTY.",Perm
12,Findings,PC,SCAT,PCSCAT,Test Subcategory,Char,,Grouping Qualifier,A further categorization of a test category.,Perm
13,Findings,PC,ORRES,PCORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
14,Findings,PC,ORRESU,PCORRESU,Unit of the Original Result,Char,(PKUNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology (http://www.cdisc.org/terminology) list.,Exp
15,Findings,PC,STRESC,PCSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from PCORRES in a standard format or standard units. PCSTRESC should store all results or findings in character format; if results are numeric, they should also be submitted in numeric format in PCSTRESN. For example, if a test has results NONE, NEG, and NEGATIVE in PCORRES and these results effectively have the same meaning, they could be represented in standard format in PCSTRESC as NEGATIVE. For other examples, see general assumptions.",Exp
16,Findings,PC,STRESN,PCSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,"Used for numeric results or findings in standard format; contains the numeric form of PCSTRESC. PCSTRESN should store all numeric test results or findings. For results beyond limits of quantification, this variable should be left null (for example, if PCSTRESC is ""<2,"" PCSTRESN would be null).",Exp
17,Findings,PC,STRESU,PCSTRESU,Unit of the Standardized Result,Char,(PKUNIT),Variable Qualifier,Standardized unit used for PCSTRESC and PCSTRESN.,Exp
18,Findings,PC,STAT,PCSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate when a test is not done or result is missing. Should be null if a result exists in PCORRES.,Perm
19,Findings,PC,REASND,PCREASND,Reason Not Done,Char,,Record Qualifier,"Describes why PCSTAT is NOT DONE, such as SPECIMEN LOST.",Perm
20,Findings,PC,NAM,PCNAM,Laboratory Name,Char,,Record Qualifier,Name or identifier of the laboratory or vendor that provided the test results.,Perm
21,Findings,PC,SPEC,PCSPEC,Specimen Material Type,Char,(SPEC),Record Qualifier,"Defines the type of specimen used for a measurement. Examples: SERUM, PLASMA, URINE.",Req
22,Findings,PC,SPCCND,PCSPCCND,Specimen Condition,Char,,Record Qualifier,"Free or standardized text describing the condition of the specimen. Examples: HEMOLYZED, ICTERIC, LIPEMIC",Perm
23,Findings,PC,SPCUFL,PCSPCUFL,Specimen Usability for the Test,Char,(NY),Record Qualifier,"Describes the usability of the specimen for the test. Should be ""N"" if the specimen is not usable; otherwise it should be null.",Perm
24,Findings,PC,METHOD,PCMETHOD,Method of Test or Examination,Char,,Record Qualifier,"Method of the test or examination. Examples: HPLC/MS, ELISA. This should contain sufficient information and granularity to allow differentiation of various methods that might have been used within a study.",Perm
25,Findings,PC,BLFL,PCBLFL,Baseline Flag,Char,(NY),Record Qualifier,"A baseline indicator may be used to calculate differences or changes from baseline. Value should be ""Y"" or null. The baseline flag is sponsor-defined.",Exp
26,Findings,PC,FAST,PCFAST,Fasting Status,Char,(NY),Record Qualifier,"Indicator used to identify fasting status. The value should be ""Y"" or null",Perm
27,Findings,PC,DRVFL,PCDRVFL,Derived Flag,Char,(NY),Record Qualifier,"Used to indicate a derived record. The value should be ""Y"" or null. Records that represent the average of other records are examples of records that would be derived for the submission datasets.",Perm
28,Findings,PC,LLOQ,PCLLOQ,Lower Limit of Quantitation,Num,,Variable Qualifier,Indicates the lower limit of quantitation for an assay. Units should be those used in PCSTRESU.,Exp
29,Findings,PC,EXCLFL,PCEXCLFL,Exclusion Flag,Char,(NY),Record Qualifier,"""Y"" if the result should be excluded from all calculations, otherwise null.",Perm
30,Findings,PC,REASEX,PCREASEX,Reason for Exclusion,Char,,Record Qualifier,"The reason the result should be excluded from all calculations. Used only when PCEXCLFL is ""Y"".",Perm
31,Findings,PC,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,Planned day of collection. Should be an integer.,Perm
32,Findings,PC,DTC,PCDTC,Date/Time of Specimen Collection,Char,ISO 8601,Timing,"Date/Time of specimen collection, in ISO 8601 format. If there is no end time, then this will be the collection time.",Exp
33,Findings,PC,ENDTC,PCENDTC,End Date/Time of Specimen Collection,Char,ISO 8601,Timing,"End date/time of specimen collection, in ISO 8601 format. If there is no end time, the collection time should be represented in PCDTC, and PCENDTC should be null.",Perm
34,Findings,PC,DY,PCDY,Study Day of Specimen Collection,Num,,Timing,"Study day of specimen collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics (DM) domain.",Perm
35,Findings,PC,ENDY,PCENDY,Study Day of End of Specimen Collection,Num,,Timing,"Study day of the end of specimen collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics (DM) domain.",Perm
36,Findings,PC,NOMDY,PCNOMDY,Nominal Study Day for Tabulations,Num,,Timing,Nominal study day used for grouping records for specimen collections that may occur on different days into a single reported study day. Should be an integer.,Exp
37,Findings,PC,NOMLBL,PCNOMLBL,Label for Nominal Study Day,Char,,Timing,"A label for a given value of PCNOMDY as presented in the study report. Examples: ""Week 4,"" ""Day 28"".",Perm
38,Findings,PC,TPT,PCTPT,Planned Time Point Name,Char,,Timing,"Text description of time when specimen should be taken. Note: This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See PCTPTNUM and PCTPTREF. Examples: Start, 5 min post.",Perm
39,Findings,PC,TPTNUM,PCTPTNUM,Planned Time Point Number,Num,,Timing,Numerical version of PCTPT to aid in sorting.,Perm
40,Findings,PC,ELTM,PCELTM,Planned Elapsed Time from Time Point Ref,Char,ISO 8601,Timing,"Planned elapsed time (in ISO 8601 format) relative to a planned fixed reference (PCTPTREF) such as PREVIOUS DOSE or PREVIOUS MEAL. This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration. Examples: ""-PT15M"" to represent the period of 15 minutes prior to the reference point indicated by PCTPTREF, or ""PT8H"" to represent the period of 8 hours after the reference point indicated by PCTPTREF.",Perm
41,Findings,PC,TPTREF,PCTPTREF,Time Point Reference,Char,,Timing,"Name of the fixed reference point referred to by PCELTM, if used for PCTPTNUM, and PCTPT. It is recommended that PCTPTREF be as descriptive as possible so the reference time point can be inferred without looking atother variables. Example: Most Recent Dose.",Perm
42,Findings,PC,RFTDTC,PCRFTDTC,Date/Time of Reference Point,Char,ISO 8601,Timing,"Date/Time of the reference time point, PCTPTREF.",Exp
43,Findings,PC,EVLINT,PCEVLINT,Evaluation Interval,Char,ISO 8601,Timing,"Planned evaluation interval associated with a PCTEST record in ISO 8601 format. Example: ""-P2H"" to represent a planned interval of collection of 2 hours prior to the time point described in PCTPT.",Perm
1,Findings,PP,STUDYID,STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
2,Findings,PP,DOMAIN,DOMAIN,Domain Abbreviation,Char,PP,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,PP,USUBJID,USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. Either USUBJID or POOLID must be populated.,Exp
4,Findings,PP,POOLID,POOLID,Pool Identifier,Char,,Identifier,"Identifier used for pooling subjects to assign a single finding to multiple subjects. If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. Either USUBJID or POOLID must be populated.",Perm
5,Findings,PP,SEQ,PPSEQ,Sequence Number,Num,,Identifier,"The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",Req
6,Findings,PP,GRPID,PPGRPID,Group Identifier,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject or pool. This is not the treatment group number.,Perm
7,Findings,PP,TESTCD,PPTESTCD,Parameter Short Name,Char,(PKPARMCD),Topic,"Short name of the measurement, test, or examination described in PPTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in PPTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). PPTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: AUCINT, TMAX, CMAX.",Req
8,Findings,PP,TEST,PPTEST,Parameter Name,Char,(PKPARM),Synonym Qualifier,"Long name for PPTESTCD. The value in PPTEST cannot be longer than 40 characters. Examples: AUC from T1 to T2, Time of CMAX, Max Conc.",Req
9,Findings,PP,CAT,PPCAT,Parameter Category,Char,,Grouping Qualifier,Used to define a category of parameters associated with a specific analyte. This must be the analyte in PCTEST whose profile the parameter is associated with.,Exp
10,Findings,PP,SCAT,PPSCAT,Parameter Subcategory,Char,,Grouping Qualifier,"Categorization of the model type used to calculate the pharmacokinetic parameters. Examples include COMPARTMENTAL, NON-COMPARTMENTAL.",Perm
11,Findings,PP,ORRES,PPORRES,Result or Findings as Collected,Char,,Result Qualifier,Result of the measurement or finding as calculated.,Exp
12,Findings,PP,ORRESU,PPORRESU,Unit of the Original Result,Char,(PKUNIT),Variable Qualifier,The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology (http://www.cdisc.org/terminology) list.,Exp
13,Findings,PP,STRESC,PPSTRESC,Standardized Result in Character Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from PPORRES in a standard format or standard units. PPSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in PPSTRESN. For example, if a test has results NONE, NEG, and NEGATIVE in PPORRES and these results effectively have the same meaning, they could be represented in standard format in PPSTRESC as NEGATIVE. For other examples, see general assumptions.",Exp
14,Findings,PP,STRESN,PPSTRESN,Standardized Result in Numeric Format,Num,,Result Qualifier,Used for numeric results or findings in standard format; contains the numeric form of PPSTRESC. PPSTRESN should store all numeric test results or findings.,Exp
15,Findings,PP,STRESU,PPSTRESU,Unit of the Standardized Result,Char,(PKUNIT),Variable Qualifier,Standardized unit used for PPSTRESC and PPSTRESN.,Exp
16,Findings,PP,STAT,PPSTAT,Completion Status,Char,(ND),Record Qualifier,Used to indicate that a parameter was not calculated. Should be null if a result exists in PPORRES.,Perm
17,Findings,PP,REASND,PPREASND,Reason Not Done,Char,,Record Qualifier,"Describes why a parameter was not performed, such as INSUFFICIENT DATA. Used in conjunction with PPSTAT when value is NOT DONE.",Perm
18,Findings,PP,SPEC,PPSPEC,Specimen Material Type,Char,(SPEC),Record Qualifier,"Defines the type of specimen used for a measurement. If multiple specimen types are used for a calculation (e.g., serum and urine for creatinine clearance), then refer to Section 4.3.6.2 for guidance on how to populate. Examples: SERUM, PLASMA, URINE.",Exp
19,Findings,PP,VISITDY,VISITDY,Planned Study Day of Collection,Num,,Timing,Planned study day of collection. Should be an integer.,Perm
20,Findings,PP,NOMDY,PPNOMDY,Nominal Study Day for Tabulations,Num,,Timing,Nominal study day used for grouping records for specimen collections that may occur on different days into a single reported study day. Should be an integer.,Exp
